Mixture_Label;Mixture_Id;Species_1;Strain_1;Species_2;Strain_2;Replicate;Ratio;Proportion
A;1;NYV.XSY;214;NYV.VCE;77;1;1:0;1
A;1;NYV.XSY;214;NYV.VCE;77;2;1:0;1
A;1;NYV.XSY;214;NYV.VCE;77;1;2:1;0.666666666666667
A;1;NYV.XSY;214;NYV.VCE;77;2;2:1;0.666666666666667
A;1;NYV.XSY;214;NYV.VCE;77;1;5:1;0.838383838383838
A;1;NYV.XSY;214;NYV.VCE;77;2;5:1;0.838383838383838
A;1;NYV.XSY;214;NYV.VCE;77;1;10:1;0.91
A;1;NYV.XSY;214;NYV.VCE;77;2;10:1;0.91
A;1;NYV.XSY;214;NYV.VCE;77;1;1:1;0.5
A;1;NYV.XSY;214;NYV.VCE;77;2;1:1;0.5
A;1;NYV.XSY;214;NYV.VCE;77;1;1:10;0.09
A;1;NYV.XSY;214;NYV.VCE;77;2;1:10;0.09
A;1;NYV.XSY;214;NYV.VCE;77;1;1:5;0.161616161616162
A;1;NYV.XSY;214;NYV.VCE;77;2;1:5;0.161616161616162
A;1;NYV.XSY;214;NYV.VCE;77;1;1:2;0.333333333333333
A;1;NYV.XSY;214;NYV.VCE;77;2;1:2;0.333333333333333
A;1;NYV.XSY;214;NYV.VCE;77;1;0:1;0
A;1;NYV.XSY;214;NYV.VCE;77;2;0:1;0
A;2;NYV.XSY;194;NYV.VCE;202;1;1:0;1
A;2;NYV.XSY;194;NYV.VCE;202;2;1:0;1
A;2;NYV.XSY;194;NYV.VCE;202;1;2:1;0.666666666666667
A;2;NYV.XSY;194;NYV.VCE;202;2;2:1;0.666666666666667
A;2;NYV.XSY;194;NYV.VCE;202;1;5:1;0.838383838383838
A;2;NYV.XSY;194;NYV.VCE;202;2;5:1;0.838383838383838
A;2;NYV.XSY;194;NYV.VCE;202;1;10:1;0.91
A;2;NYV.XSY;194;NYV.VCE;202;2;10:1;0.91
A;2;NYV.XSY;194;NYV.VCE;202;1;1:1;0.5
A;2;NYV.XSY;194;NYV.VCE;202;2;1:1;0.5
A;2;NYV.XSY;194;NYV.VCE;202;1;1:10;0.09
A;2;NYV.XSY;194;NYV.VCE;202;2;1:10;0.09
A;2;NYV.XSY;194;NYV.VCE;202;1;1:5;0.161616161616162
A;2;NYV.XSY;194;NYV.VCE;202;2;1:5;0.161616161616162
A;2;NYV.XSY;194;NYV.VCE;202;1;1:2;0.333333333333333
A;2;NYV.XSY;194;NYV.VCE;202;2;1:2;0.333333333333333
A;2;NYV.XSY;194;NYV.VCE;202;1;0:1;0
A;2;NYV.XSY;194;NYV.VCE;202;2;0:1;0
B;1;AUG.AEX;43;AUG.HSS;48;1;1:0;1
B;1;AUG.AEX;43;AUG.HSS;48;2;1:0;1
B;1;AUG.AEX;43;AUG.HSS;48;1;2:1;0.666666666666667
B;1;AUG.AEX;43;AUG.HSS;48;2;2:1;0.666666666666667
B;1;AUG.AEX;43;AUG.HSS;48;1;5:1;0.838383838383838
B;1;AUG.AEX;43;AUG.HSS;48;2;5:1;0.838383838383838
B;1;AUG.AEX;43;AUG.HSS;48;1;10:1;0.91
B;1;AUG.AEX;43;AUG.HSS;48;2;10:1;0.91
B;1;AUG.AEX;43;AUG.HSS;48;1;1:1;0.5
B;1;AUG.AEX;43;AUG.HSS;48;2;1:1;0.5
B;1;AUG.AEX;43;AUG.HSS;48;1;1:10;0.09
B;1;AUG.AEX;43;AUG.HSS;48;2;1:10;0.09
B;1;AUG.AEX;43;AUG.HSS;48;1;1:5;0.161616161616162
B;1;AUG.AEX;43;AUG.HSS;48;2;1:5;0.161616161616162
B;1;AUG.AEX;43;AUG.HSS;48;1;1:2;0.333333333333333
B;1;AUG.AEX;43;AUG.HSS;48;2;1:2;0.333333333333333
B;1;AUG.AEX;43;AUG.HSS;48;1;0:1;0
B;1;AUG.AEX;43;AUG.HSS;48;2;0:1;0
B;2;AUG.AEX;181;AUG.HSS;73;1;1:0;1
B;2;AUG.AEX;181;AUG.HSS;73;2;1:0;1
B;2;AUG.AEX;181;AUG.HSS;73;1;2:1;0.666666666666667
B;2;AUG.AEX;181;AUG.HSS;73;2;2:1;0.666666666666667
B;2;AUG.AEX;181;AUG.HSS;73;1;5:1;0.838383838383838
B;2;AUG.AEX;181;AUG.HSS;73;2;5:1;0.838383838383838
B;2;AUG.AEX;181;AUG.HSS;73;1;10:1;0.91
B;2;AUG.AEX;181;AUG.HSS;73;2;10:1;0.91
B;2;AUG.AEX;181;AUG.HSS;73;1;1:1;0.5
B;2;AUG.AEX;181;AUG.HSS;73;2;1:1;0.5
B;2;AUG.AEX;181;AUG.HSS;73;1;1:10;0.09
B;2;AUG.AEX;181;AUG.HSS;73;2;1:10;0.09
B;2;AUG.AEX;181;AUG.HSS;73;1;1:5;0.161616161616162
B;2;AUG.AEX;181;AUG.HSS;73;2;1:5;0.161616161616162
B;2;AUG.AEX;181;AUG.HSS;73;1;1:2;0.333333333333333
B;2;AUG.AEX;181;AUG.HSS;73;2;1:2;0.333333333333333
B;2;AUG.AEX;181;AUG.HSS;73;1;0:1;0
B;2;AUG.AEX;181;AUG.HSS;73;2;0:1;0
C;1;JNH.ZIJ;66;JNH.FLH;17;1;1:0;1
C;1;JNH.ZIJ;66;JNH.FLH;17;2;1:0;1
C;1;JNH.ZIJ;66;JNH.FLH;17;1;2:1;0.666666666666667
C;1;JNH.ZIJ;66;JNH.FLH;17;2;2:1;0.666666666666667
C;1;JNH.ZIJ;66;JNH.FLH;17;1;5:1;0.838383838383838
C;1;JNH.ZIJ;66;JNH.FLH;17;2;5:1;0.838383838383838
C;1;JNH.ZIJ;66;JNH.FLH;17;1;10:1;0.91
C;1;JNH.ZIJ;66;JNH.FLH;17;2;10:1;0.91
C;1;JNH.ZIJ;66;JNH.FLH;17;1;1:1;0.5
C;1;JNH.ZIJ;66;JNH.FLH;17;2;1:1;0.5
C;1;JNH.ZIJ;66;JNH.FLH;17;1;1:10;0.09
C;1;JNH.ZIJ;66;JNH.FLH;17;2;1:10;0.09
C;1;JNH.ZIJ;66;JNH.FLH;17;1;1:5;0.161616161616162
C;1;JNH.ZIJ;66;JNH.FLH;17;2;1:5;0.161616161616162
C;1;JNH.ZIJ;66;JNH.FLH;17;1;1:2;0.333333333333333
C;1;JNH.ZIJ;66;JNH.FLH;17;2;1:2;0.333333333333333
C;1;JNH.ZIJ;66;JNH.FLH;17;1;0:1;0
C;1;JNH.ZIJ;66;JNH.FLH;17;2;0:1;0
C;2;JNH.ZIJ;215;JNH.FLH;208;1;1:0;1
C;2;JNH.ZIJ;215;JNH.FLH;208;2;1:0;1
C;2;JNH.ZIJ;215;JNH.FLH;208;1;2:1;0.666666666666667
C;2;JNH.ZIJ;215;JNH.FLH;208;2;2:1;0.666666666666667
C;2;JNH.ZIJ;215;JNH.FLH;208;1;5:1;0.838383838383838
C;2;JNH.ZIJ;215;JNH.FLH;208;2;5:1;0.838383838383838
C;2;JNH.ZIJ;215;JNH.FLH;208;1;10:1;0.91
C;2;JNH.ZIJ;215;JNH.FLH;208;2;10:1;0.91
C;2;JNH.ZIJ;215;JNH.FLH;208;1;1:1;0.5
C;2;JNH.ZIJ;215;JNH.FLH;208;2;1:1;0.5
C;2;JNH.ZIJ;215;JNH.FLH;208;1;1:10;0.09
C;2;JNH.ZIJ;215;JNH.FLH;208;2;1:10;0.09
C;2;JNH.ZIJ;215;JNH.FLH;208;1;1:5;0.161616161616162
C;2;JNH.ZIJ;215;JNH.FLH;208;2;1:5;0.161616161616162
C;2;JNH.ZIJ;215;JNH.FLH;208;1;1:2;0.333333333333333
C;2;JNH.ZIJ;215;JNH.FLH;208;2;1:2;0.333333333333333
C;2;JNH.ZIJ;215;JNH.FLH;208;1;0:1;0
C;2;JNH.ZIJ;215;JNH.FLH;208;2;0:1;0
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;1:0;1
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;1:0;1
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;2:1;0.666666666666667
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;2:1;0.666666666666667
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;5:1;0.838383838383838
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;5:1;0.838383838383838
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;10:1;0.91
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;10:1;0.91
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;1:1;0.5
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;1:1;0.5
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;1:10;0.09
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;1:10;0.09
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;1:5;0.161616161616162
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;1:5;0.161616161616162
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;1:2;0.333333333333333
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;1:2;0.333333333333333
D;1;VVJ.KSF;7;VVJ.KWJ;58;1;0:1;0
D;1;VVJ.KSF;7;VVJ.KWJ;58;2;0:1;0
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;1:0;1
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;1:0;1
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;2:1;0.666666666666667
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;2:1;0.666666666666667
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;5:1;0.838383838383838
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;5:1;0.838383838383838
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;10:1;0.91
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;10:1;0.91
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;1:1;0.5
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;1:1;0.5
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;1:10;0.09
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;1:10;0.09
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;1:5;0.161616161616162
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;1:5;0.161616161616162
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;1:2;0.333333333333333
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;1:2;0.333333333333333
D;2;VVJ.KSF;59;VVJ.KWJ;185;1;0:1;0
D;2;VVJ.KSF;59;VVJ.KWJ;185;2;0:1;0
E;1;EMD.FZO;42;AUG.AEX;43;1;1:0;1
E;1;EMD.FZO;42;AUG.AEX;43;2;1:0;1
E;1;EMD.FZO;42;AUG.AEX;43;1;2:1;0.666666666666667
E;1;EMD.FZO;42;AUG.AEX;43;2;2:1;0.666666666666667
E;1;EMD.FZO;42;AUG.AEX;43;1;5:1;0.838383838383838
E;1;EMD.FZO;42;AUG.AEX;43;2;5:1;0.838383838383838
E;1;EMD.FZO;42;AUG.AEX;43;1;10:1;0.91
E;1;EMD.FZO;42;AUG.AEX;43;2;10:1;0.91
E;1;EMD.FZO;42;AUG.AEX;43;1;1:1;0.5
E;1;EMD.FZO;42;AUG.AEX;43;2;1:1;0.5
E;1;EMD.FZO;42;AUG.AEX;43;1;1:10;0.09
E;1;EMD.FZO;42;AUG.AEX;43;2;1:10;0.09
E;1;EMD.FZO;42;AUG.AEX;43;1;1:5;0.161616161616162
E;1;EMD.FZO;42;AUG.AEX;43;2;1:5;0.161616161616162
E;1;EMD.FZO;42;AUG.AEX;43;1;1:2;0.333333333333333
E;1;EMD.FZO;42;AUG.AEX;43;2;1:2;0.333333333333333
E;1;EMD.FZO;42;AUG.AEX;43;1;0:1;0
E;1;EMD.FZO;42;AUG.AEX;43;2;0:1;0
E;2;EMD.FZO;195;AUG.AEX;181;1;1:0;1
E;2;EMD.FZO;195;AUG.AEX;181;2;1:0;1
E;2;EMD.FZO;195;AUG.AEX;181;1;2:1;0.666666666666667
E;2;EMD.FZO;195;AUG.AEX;181;2;2:1;0.666666666666667
E;2;EMD.FZO;195;AUG.AEX;181;1;5:1;0.838383838383838
E;2;EMD.FZO;195;AUG.AEX;181;2;5:1;0.838383838383838
E;2;EMD.FZO;195;AUG.AEX;181;1;10:1;0.91
E;2;EMD.FZO;195;AUG.AEX;181;2;10:1;0.91
E;2;EMD.FZO;195;AUG.AEX;181;1;1:1;0.5
E;2;EMD.FZO;195;AUG.AEX;181;2;1:1;0.5
E;2;EMD.FZO;195;AUG.AEX;181;1;1:10;0.09
E;2;EMD.FZO;195;AUG.AEX;181;2;1:10;0.09
E;2;EMD.FZO;195;AUG.AEX;181;1;1:5;0.161616161616162
E;2;EMD.FZO;195;AUG.AEX;181;2;1:5;0.161616161616162
E;2;EMD.FZO;195;AUG.AEX;181;1;1:2;0.333333333333333
E;2;EMD.FZO;195;AUG.AEX;181;2;1:2;0.333333333333333
E;2;EMD.FZO;195;AUG.AEX;181;1;0:1;0
E;2;EMD.FZO;195;AUG.AEX;181;2;0:1;0
J;1;RTO.JFR;27;NYV.VCE;77;1;1:0;1
J;1;RTO.JFR;27;NYV.VCE;77;2;1:0;1
J;1;RTO.JFR;27;NYV.VCE;77;1;2:1;0.666666666666667
J;1;RTO.JFR;27;NYV.VCE;77;2;2:1;0.666666666666667
J;1;RTO.JFR;27;NYV.VCE;77;1;5:1;0.838383838383838
J;1;RTO.JFR;27;NYV.VCE;77;2;5:1;0.838383838383838
J;1;RTO.JFR;27;NYV.VCE;77;1;10:1;0.91
J;1;RTO.JFR;27;NYV.VCE;77;2;10:1;0.91
J;1;RTO.JFR;27;NYV.VCE;77;1;1:1;0.5
J;1;RTO.JFR;27;NYV.VCE;77;2;1:1;0.5
J;1;RTO.JFR;27;NYV.VCE;77;1;1:10;0.09
J;1;RTO.JFR;27;NYV.VCE;77;2;1:10;0.09
J;1;RTO.JFR;27;NYV.VCE;77;1;1:5;0.161616161616162
J;1;RTO.JFR;27;NYV.VCE;77;2;1:5;0.161616161616162
J;1;RTO.JFR;27;NYV.VCE;77;1;1:2;0.333333333333333
J;1;RTO.JFR;27;NYV.VCE;77;2;1:2;0.333333333333333
J;1;RTO.JFR;27;NYV.VCE;77;1;0:1;0
J;1;RTO.JFR;27;NYV.VCE;77;2;0:1;0
J;2;RTO.JFR;183;NYV.VCE;202;1;1:0;1
J;2;RTO.JFR;183;NYV.VCE;202;2;1:0;1
J;2;RTO.JFR;183;NYV.VCE;202;1;2:1;0.666666666666667
J;2;RTO.JFR;183;NYV.VCE;202;2;2:1;0.666666666666667
J;2;RTO.JFR;183;NYV.VCE;202;1;5:1;0.838383838383838
J;2;RTO.JFR;183;NYV.VCE;202;2;5:1;0.838383838383838
J;2;RTO.JFR;183;NYV.VCE;202;1;10:1;0.91
J;2;RTO.JFR;183;NYV.VCE;202;2;10:1;0.91
J;2;RTO.JFR;183;NYV.VCE;202;1;1:1;0.5
J;2;RTO.JFR;183;NYV.VCE;202;2;1:1;0.5
J;2;RTO.JFR;183;NYV.VCE;202;1;1:10;0.09
J;2;RTO.JFR;183;NYV.VCE;202;2;1:10;0.09
J;2;RTO.JFR;183;NYV.VCE;202;1;1:5;0.161616161616162
J;2;RTO.JFR;183;NYV.VCE;202;2;1:5;0.161616161616162
J;2;RTO.JFR;183;NYV.VCE;202;1;1:2;0.333333333333333
J;2;RTO.JFR;183;NYV.VCE;202;2;1:2;0.333333333333333
J;2;RTO.JFR;183;NYV.VCE;202;1;0:1;0
J;2;RTO.JFR;183;NYV.VCE;202;2;0:1;0
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;1:0;1
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;1:0;1
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;2:1;0.666666666666667
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;2:1;0.666666666666667
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;5:1;0.838383838383838
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;5:1;0.838383838383838
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;10:1;0.91
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;10:1;0.91
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;1:1;0.5
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;1:1;0.5
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;1:10;0.09
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;1:10;0.09
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;1:5;0.161616161616162
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;1:5;0.161616161616162
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;1:2;0.333333333333333
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;1:2;0.333333333333333
G;1;VVJ.KWJ;58;JNH.ZIJ;66;1;0:1;0
G;1;VVJ.KWJ;58;JNH.ZIJ;66;2;0:1;0
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;1:0;1
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;1:0;1
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;2:1;0.666666666666667
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;2:1;0.666666666666667
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;5:1;0.838383838383838
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;5:1;0.838383838383838
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;10:1;0.91
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;10:1;0.91
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;1:1;0.5
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;1:1;0.5
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;1:10;0.09
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;1:10;0.09
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;1:5;0.161616161616162
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;1:5;0.161616161616162
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;1:2;0.333333333333333
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;1:2;0.333333333333333
G;2;VVJ.KWJ;185;JNH.ZIJ;215;1;0:1;0
G;2;VVJ.KWJ;185;JNH.ZIJ;215;2;0:1;0
H;1;QWP.DRH;79;BUT.YZE;217;1;1:0;1
H;1;QWP.DRH;79;BUT.YZE;217;2;1:0;1
H;1;QWP.DRH;79;BUT.YZE;217;1;2:1;0.666666666666667
H;1;QWP.DRH;79;BUT.YZE;217;2;2:1;0.666666666666667
H;1;QWP.DRH;79;BUT.YZE;217;1;5:1;0.838383838383838
H;1;QWP.DRH;79;BUT.YZE;217;2;5:1;0.838383838383838
H;1;QWP.DRH;79;BUT.YZE;217;1;10:1;0.91
H;1;QWP.DRH;79;BUT.YZE;217;2;10:1;0.91
H;1;QWP.DRH;79;BUT.YZE;217;1;1:1;0.5
H;1;QWP.DRH;79;BUT.YZE;217;2;1:1;0.5
H;1;QWP.DRH;79;BUT.YZE;217;1;1:10;0.09
H;1;QWP.DRH;79;BUT.YZE;217;2;1:10;0.09
H;1;QWP.DRH;79;BUT.YZE;217;1;1:5;0.161616161616162
H;1;QWP.DRH;79;BUT.YZE;217;2;1:5;0.161616161616162
H;1;QWP.DRH;79;BUT.YZE;217;1;1:2;0.333333333333333
H;1;QWP.DRH;79;BUT.YZE;217;2;1:2;0.333333333333333
H;1;QWP.DRH;79;BUT.YZE;217;1;0:1;0
H;1;QWP.DRH;79;BUT.YZE;217;2;0:1;0
H;2;QWP.DRH;164;BUT.YZE;142;1;1:0;1
H;2;QWP.DRH;164;BUT.YZE;142;2;1:0;1
H;2;QWP.DRH;164;BUT.YZE;142;1;2:1;0.666666666666667
H;2;QWP.DRH;164;BUT.YZE;142;2;2:1;0.666666666666667
H;2;QWP.DRH;164;BUT.YZE;142;1;5:1;0.838383838383838
H;2;QWP.DRH;164;BUT.YZE;142;2;5:1;0.838383838383838
H;2;QWP.DRH;164;BUT.YZE;142;1;10:1;0.91
H;2;QWP.DRH;164;BUT.YZE;142;2;10:1;0.91
H;2;QWP.DRH;164;BUT.YZE;142;1;1:1;0.5
H;2;QWP.DRH;164;BUT.YZE;142;2;1:1;0.5
H;2;QWP.DRH;164;BUT.YZE;142;1;1:10;0.09
H;2;QWP.DRH;164;BUT.YZE;142;2;1:10;0.09
H;2;QWP.DRH;164;BUT.YZE;142;1;1:5;0.161616161616162
H;2;QWP.DRH;164;BUT.YZE;142;2;1:5;0.161616161616162
H;2;QWP.DRH;164;BUT.YZE;142;1;1:2;0.333333333333333
H;2;QWP.DRH;164;BUT.YZE;142;2;1:2;0.333333333333333
H;2;QWP.DRH;164;BUT.YZE;142;1;0:1;0
H;2;QWP.DRH;164;BUT.YZE;142;2;0:1;0
I;1;QBG.CRP;60;BUT.YZE;217;1;1:0;1
I;1;QBG.CRP;60;BUT.YZE;217;2;1:0;1
I;1;QBG.CRP;60;BUT.YZE;217;1;2:1;0.666666666666667
I;1;QBG.CRP;60;BUT.YZE;217;2;2:1;0.666666666666667
I;1;QBG.CRP;60;BUT.YZE;217;1;5:1;0.838383838383838
I;1;QBG.CRP;60;BUT.YZE;217;2;5:1;0.838383838383838
I;1;QBG.CRP;60;BUT.YZE;217;1;10:1;0.91
I;1;QBG.CRP;60;BUT.YZE;217;2;10:1;0.91
I;1;QBG.CRP;60;BUT.YZE;217;1;1:1;0.5
I;1;QBG.CRP;60;BUT.YZE;217;2;1:1;0.5
I;1;QBG.CRP;60;BUT.YZE;217;1;1:10;0.09
I;1;QBG.CRP;60;BUT.YZE;217;2;1:10;0.09
I;1;QBG.CRP;60;BUT.YZE;217;1;1:5;0.161616161616162
I;1;QBG.CRP;60;BUT.YZE;217;2;1:5;0.161616161616162
I;1;QBG.CRP;60;BUT.YZE;217;1;1:2;0.333333333333333
I;1;QBG.CRP;60;BUT.YZE;217;2;1:2;0.333333333333333
I;1;QBG.CRP;60;BUT.YZE;217;1;0:1;0
I;1;QBG.CRP;60;BUT.YZE;217;2;0:1;0
I;2;QBG.CRP;219;BUT.YZE;220;1;1:0;1
I;2;QBG.CRP;219;BUT.YZE;220;2;1:0;1
I;2;QBG.CRP;219;BUT.YZE;220;1;2:1;0.666666666666667
I;2;QBG.CRP;219;BUT.YZE;220;2;2:1;0.666666666666667
I;2;QBG.CRP;219;BUT.YZE;220;1;5:1;0.838383838383838
I;2;QBG.CRP;219;BUT.YZE;220;2;5:1;0.838383838383838
I;2;QBG.CRP;219;BUT.YZE;220;1;10:1;0.91
I;2;QBG.CRP;219;BUT.YZE;220;2;10:1;0.91
I;2;QBG.CRP;219;BUT.YZE;220;1;1:1;0.5
I;2;QBG.CRP;219;BUT.YZE;220;2;1:1;0.5
I;2;QBG.CRP;219;BUT.YZE;220;1;1:10;0.09
I;2;QBG.CRP;219;BUT.YZE;220;2;1:10;0.09
I;2;QBG.CRP;219;BUT.YZE;220;1;1:5;0.161616161616162
I;2;QBG.CRP;219;BUT.YZE;220;2;1:5;0.161616161616162
I;2;QBG.CRP;219;BUT.YZE;220;1;1:2;0.333333333333333
I;2;QBG.CRP;219;BUT.YZE;220;2;1:2;0.333333333333333
I;2;QBG.CRP;219;BUT.YZE;220;1;0:1;0
I;2;QBG.CRP;219;BUT.YZE;220;2;0:1;0
F;1;AUG.AEX;43;BUT.DNW;218;1;1:0;1
F;1;AUG.AEX;43;BUT.DNW;218;2;1:0;1
F;1;AUG.AEX;43;BUT.DNW;218;1;2:1;0.666666666666667
F;1;AUG.AEX;43;BUT.DNW;218;2;2:1;0.666666666666667
F;1;AUG.AEX;43;BUT.DNW;218;1;5:1;0.838383838383838
F;1;AUG.AEX;43;BUT.DNW;218;2;5:1;0.838383838383838
F;1;AUG.AEX;43;BUT.DNW;218;1;10:1;0.91
F;1;AUG.AEX;43;BUT.DNW;218;2;10:1;0.91
F;1;AUG.AEX;43;BUT.DNW;218;1;1:1;0.5
F;1;AUG.AEX;43;BUT.DNW;218;2;1:1;0.5
F;1;AUG.AEX;43;BUT.DNW;218;1;1:10;0.09
F;1;AUG.AEX;43;BUT.DNW;218;2;1:10;0.09
F;1;AUG.AEX;43;BUT.DNW;218;1;1:5;0.161616161616162
F;1;AUG.AEX;43;BUT.DNW;218;2;1:5;0.161616161616162
F;1;AUG.AEX;43;BUT.DNW;218;1;1:2;0.333333333333333
F;1;AUG.AEX;43;BUT.DNW;218;2;1:2;0.333333333333333
F;1;AUG.AEX;43;BUT.DNW;218;1;0:1;0
F;1;AUG.AEX;43;BUT.DNW;218;2;0:1;0
F;2;AUG.AEX;181;BUT.DNW;172;1;1:0;1
F;2;AUG.AEX;181;BUT.DNW;172;2;1:0;1
F;2;AUG.AEX;181;BUT.DNW;172;1;2:1;0.666666666666667
F;2;AUG.AEX;181;BUT.DNW;172;2;2:1;0.666666666666667
F;2;AUG.AEX;181;BUT.DNW;172;1;5:1;0.838383838383838
F;2;AUG.AEX;181;BUT.DNW;172;2;5:1;0.838383838383838
F;2;AUG.AEX;181;BUT.DNW;172;1;10:1;0.91
F;2;AUG.AEX;181;BUT.DNW;172;2;10:1;0.91
F;2;AUG.AEX;181;BUT.DNW;172;1;1:1;0.5
F;2;AUG.AEX;181;BUT.DNW;172;2;1:1;0.5
F;2;AUG.AEX;181;BUT.DNW;172;1;1:10;0.09
F;2;AUG.AEX;181;BUT.DNW;172;2;1:10;0.09
F;2;AUG.AEX;181;BUT.DNW;172;1;1:5;0.161616161616162
F;2;AUG.AEX;181;BUT.DNW;172;2;1:5;0.161616161616162
F;2;AUG.AEX;181;BUT.DNW;172;1;1:2;0.333333333333333
F;2;AUG.AEX;181;BUT.DNW;172;2;1:2;0.333333333333333
F;2;AUG.AEX;181;BUT.DNW;172;1;0:1;0
F;2;AUG.AEX;181;BUT.DNW;172;2;0:1;0
