Species;Strain
Streptococcus oralis;1
Escherichia coli;2
Escherichia coli;2
Escherichia coli;2
Escherichia coli;2
Listeria ivanovii;3
Listeria ivanovii;3
Listeria ivanovii;3
Listeria ivanovii;3
Listeria ivanovii;4
Listeria ivanovii;4
Listeria ivanovii;5
Listeria ivanovii;5
Listeria ivanovii;5
Listeria ivanovii;6
Listeria ivanovii;6
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Escherichia coli;8
Escherichia coli;8
Citrobacter freundii;9
Citrobacter freundii;9
Shigella flexneri;10
Shigella flexneri;10
Shigella boydii;11
Shigella boydii;12
Shigella boydii;12
Shigella boydii;12
Bacillus cereus;13
Escherichia coli;14
Escherichia coli;14
Escherichia coli;14
Escherichia coli;14
Shigella flexneri;15
Shigella flexneri;15
Shigella flexneri;15
Shigella flexneri;15
Yersinia enterocolitica;16
Yersinia enterocolitica;16
Citrobacter freundii;17
Citrobacter freundii;17
Citrobacter freundii;17
Escherichia coli;18
Escherichia coli;18
Escherichia coli;18
Escherichia coli;18
Bacillus thuringiensis;19
Enterobacter asburiae;20
Enterobacter asburiae;20
Escherichia coli;21
Escherichia coli;21
Escherichia coli;21
Escherichia coli;21
Streptococcus oralis;22
Streptococcus oralis;22
Streptococcus oralis;22
Listeria monocytogenes;23
Listeria monocytogenes;23
Listeria monocytogenes;23
Listeria ivanovii;24
Listeria ivanovii;24
Listeria ivanovii;24
Listeria ivanovii;24
Escherichia coli;25
Escherichia coli;25
Citrobacter braakii;26
Citrobacter braakii;26
Citrobacter braakii;26
Citrobacter braakii;26
Streptococcus mitis;27
Streptococcus mitis;27
Streptococcus mitis;27
Streptococcus mitis;27
Citrobacter braakii;28
Haemophilus parainfluenzae;29
Haemophilus parainfluenzae;29
Haemophilus parainfluenzae;29
Citrobacter braakii;30
Citrobacter braakii;30
Bacillus cereus;31
Bacillus cereus;31
Bacillus cereus;31
Bacillus cereus;31
Bacillus thuringiensis;32
Bacillus thuringiensis;33
Bacillus thuringiensis;33
Bacillus thuringiensis;34
Bacillus thuringiensis;34
Bacillus thuringiensis;34
Escherichia coli;35
Escherichia coli;35
Escherichia coli;35
Clostridium difficile;36
Clostridium difficile;36
Enterobacter asburiae;37
Shigella boydii;38
Shigella boydii;38
Shigella flexneri;39
Shigella flexneri;39
Yersinia frederiksenii;40
Yersinia frederiksenii;40
Citrobacter braakii;41
Citrobacter braakii;41
Citrobacter braakii;41
Citrobacter braakii;41
Yersinia enterocolitica;42
Yersinia enterocolitica;42
Yersinia enterocolitica;42
Haemophilus influenzae;43
Haemophilus influenzae;43
Haemophilus influenzae;43
Bacillus cereus;44
Bacillus cereus;44
Bacillus cereus;44
Clostridium difficile;45
Clostridium difficile;45
Clostridium difficile;46
Clostridium difficile;46
Haemophilus influenzae;47
Haemophilus influenzae;47
Haemophilus influenzae;47
Haemophilus influenzae;47
Haemophilus parainfluenzae;48
Haemophilus parainfluenzae;48
Haemophilus influenzae;49
Haemophilus influenzae;49
Haemophilus influenzae;49
Haemophilus influenzae;49
Haemophilus influenzae;49
Shigella sonnei;50
Shigella sonnei;50
Enterobacter cloacae;51
Enterobacter cloacae;51
Enterobacter cloacae;51
Enterobacter cloacae;51
Enterobacter cloacae;52
Enterobacter cloacae;52
Enterobacter cloacae;52
Enterobacter cloacae;52
Haemophilus influenzae;53
Haemophilus influenzae;53
Haemophilus influenzae;53
Enterobacter cloacae;54
Enterobacter cloacae;54
Enterobacter cloacae;54
Haemophilus influenzae;55
Haemophilus influenzae;55
Enterobacter cloacae;56
Enterobacter cloacae;56
Enterobacter cloacae;56
Enterobacter cloacae;56
Listeria monocytogenes;57
Listeria monocytogenes;57
Listeria monocytogenes;57
Listeria monocytogenes;57
Listeria monocytogenes;58
Listeria monocytogenes;58
Listeria monocytogenes;58
Listeria ivanovii;59
Listeria ivanovii;59
Listeria ivanovii;59
Listeria ivanovii;59
Clostridium difficile;60
Escherichia coli;61
Enterobacter cloacae;62
Enterobacter cloacae;62
Enterobacter cloacae;62
Enterobacter cloacae;62
Enterobacter cloacae;63
Enterobacter cloacae;63
Enterobacter cloacae;63
Enterobacter cloacae;63
Enterobacter cloacae;64
Enterobacter cloacae;64
Clostridium difficile;65
Citrobacter braakii;66
Citrobacter braakii;66
Citrobacter braakii;66
Citrobacter braakii;66
Citrobacter braakii;66
Citrobacter braakii;66
Haemophilus influenzae;67
Haemophilus influenzae;67
Haemophilus influenzae;68
Haemophilus influenzae;68
Haemophilus influenzae;69
Haemophilus influenzae;69
Haemophilus influenzae;69
Haemophilus influenzae;69
Haemophilus parainfluenzae;70
Haemophilus parainfluenzae;70
Haemophilus parainfluenzae;70
Haemophilus parainfluenzae;71
Haemophilus parainfluenzae;72
Haemophilus parainfluenzae;72
Haemophilus parainfluenzae;72
Haemophilus parainfluenzae;73
Haemophilus parainfluenzae;73
Haemophilus parainfluenzae;73
Haemophilus influenzae;74
Haemophilus influenzae;74
Haemophilus influenzae;74
Haemophilus influenzae;74
Haemophilus influenzae;75
Haemophilus influenzae;75
Enterobacter cloacae;76
Enterobacter cloacae;76
Enterobacter cloacae;76
Enterobacter cloacae;76
Enterobacter cloacae;77
Enterobacter cloacae;77
Enterobacter cloacae;77
Enterobacter cloacae;77
Haemophilus influenzae;78
Haemophilus influenzae;78
Bacillus cereus;79
Clostridium glycolicum;80
Clostridium glycolicum;80
Clostridium glycolicum;81
Clostridium glycolicum;82
Clostridium glycolicum;82
Clostridium glycolicum;83
Clostridium glycolicum;83
Shigella sonnei;84
Shigella sonnei;84
Shigella sonnei;84
Shigella sonnei;84
Citrobacter freundii;85
Bacillus thuringiensis;86
Bacillus thuringiensis;87
Escherichia coli;88
Escherichia coli;88
Escherichia coli;88
Escherichia coli;88
Escherichia coli;89
Escherichia coli;89
Escherichia coli;89
Escherichia coli;90
Escherichia coli;90
Escherichia coli;90
Escherichia coli;90
Shigella flexneri;91
Shigella flexneri;91
Shigella sonnei;92
Shigella sonnei;92
Shigella sonnei;92
Shigella boydii;93
Shigella boydii;94
Shigella boydii;94
Enterobacter cloacae;95
Enterobacter cloacae;95
Enterobacter cloacae;95
Yersinia frederiksenii;96
Yersinia frederiksenii;96
Citrobacter freundii;97
Citrobacter freundii;97
Shigella sonnei;98
Shigella sonnei;98
Shigella sonnei;98
Streptococcus mitis;99
Streptococcus mitis;99
Streptococcus mitis;99
Shigella flexneri;100
Shigella flexneri;100
Shigella flexneri;100
Shigella flexneri;100
Streptococcus mitis;101
Streptococcus mitis;101
Streptococcus mitis;102
Streptococcus mitis;102
Streptococcus mitis;102
Streptococcus oralis;103
Haemophilus parainfluenzae;104
Haemophilus parainfluenzae;104
Shigella sonnei;105
Shigella sonnei;105
Shigella sonnei;105
Shigella sonnei;105
Escherichia coli;106
Escherichia coli;106
Streptococcus oralis;107
Streptococcus oralis;107
Streptococcus oralis;107
Streptococcus oralis;107
Streptococcus oralis;108
Streptococcus oralis;108
Haemophilus influenzae;109
Haemophilus influenzae;109
Haemophilus parainfluenzae;110
Haemophilus parainfluenzae;110
Citrobacter braakii;111
Citrobacter braakii;111
Yersinia enterocolitica;112
Yersinia enterocolitica;112
Listeria monocytogenes;113
Listeria monocytogenes;113
Listeria monocytogenes;113
Listeria monocytogenes;113
Listeria ivanovii;114
Listeria ivanovii;114
Yersinia frederiksenii;115
Yersinia frederiksenii;115
Yersinia frederiksenii;115
Shigella boydii;116
Shigella boydii;116
Listeria ivanovii;117
Listeria ivanovii;117
Bacillus cereus;118
Bacillus cereus;118
Enterobacter asburiae;119
Enterobacter asburiae;119
Streptococcus oralis;120
Streptococcus oralis;120
Streptococcus oralis;120
Streptococcus oralis;120
Yersinia frederiksenii;121
Yersinia frederiksenii;121
Escherichia coli;122
Escherichia coli;122
Haemophilus influenzae;123
Haemophilus influenzae;123
Haemophilus influenzae;123
Haemophilus parainfluenzae;124
Haemophilus parainfluenzae;124
Listeria monocytogenes;125
Listeria monocytogenes;125
Listeria monocytogenes;125
Enterobacter asburiae;126
Enterobacter asburiae;126
Enterobacter asburiae;126
Enterobacter asburiae;126
Enterobacter asburiae;126
Enterobacter asburiae;126
Bacillus cereus;127
Bacillus cereus;127
Escherichia coli;128
Yersinia enterocolitica;129
Yersinia enterocolitica;129
Clostridium glycolicum;130
Clostridium difficile;131
Clostridium difficile;131
Clostridium difficile;131
Clostridium difficile;131
Clostridium glycolicum;132
Clostridium glycolicum;132
Clostridium glycolicum;133
Clostridium glycolicum;133
Clostridium glycolicum;134
Clostridium glycolicum;134
Yersinia frederiksenii;135
Yersinia enterocolitica;136
Yersinia enterocolitica;136
Yersinia enterocolitica;136
Escherichia coli;137
Escherichia coli;137
Escherichia coli;137
Escherichia coli;137
Yersinia enterocolitica;138
Yersinia enterocolitica;138
Yersinia enterocolitica;138
Yersinia enterocolitica;138
Shigella boydii;139
Shigella boydii;139
Shigella boydii;139
Shigella sonnei;140
Shigella sonnei;140
Shigella sonnei;140
Yersinia enterocolitica;141
Yersinia enterocolitica;141
Yersinia enterocolitica;141
Yersinia enterocolitica;141
Escherichia coli;142
Escherichia coli;142
Escherichia coli;143
Escherichia coli;143
Bacillus cereus;144
Bacillus cereus;144
Bacillus cereus;144
Yersinia enterocolitica;145
Yersinia enterocolitica;145
Yersinia enterocolitica;145
Yersinia enterocolitica;145
Listeria monocytogenes;146
Listeria monocytogenes;146
Enterobacter cloacae;147
Enterobacter cloacae;147
Enterobacter cloacae;147
Shigella flexneri;148
Shigella flexneri;148
Shigella flexneri;148
Yersinia frederiksenii;149
Bacillus cereus;150
Bacillus cereus;150
Bacillus cereus;150
Bacillus cereus;150
Enterobacter asburiae;151
Enterobacter asburiae;151
Listeria monocytogenes;152
Yersinia frederiksenii;153
Yersinia frederiksenii;153
Streptococcus mitis;154
Streptococcus mitis;154
Streptococcus mitis;154
Streptococcus mitis;154
Haemophilus influenzae;155
Haemophilus influenzae;155
Haemophilus influenzae;155
Haemophilus influenzae;155
Citrobacter braakii;156
Citrobacter braakii;156
Shigella sonnei;157
Shigella sonnei;157
Shigella sonnei;157
Shigella sonnei;157
Shigella boydii;158
Shigella boydii;158
Shigella boydii;158
Shigella sonnei;159
Yersinia frederiksenii;160
Yersinia frederiksenii;161
Yersinia frederiksenii;161
Yersinia frederiksenii;161
Yersinia frederiksenii;161
Streptococcus mitis;162
Streptococcus mitis;162
Citrobacter freundii;163
Citrobacter freundii;163
Citrobacter freundii;163
Bacillus cereus;164
Bacillus cereus;164
Bacillus cereus;164
Bacillus cereus;164
Enterobacter asburiae;165
Enterobacter asburiae;165
Enterobacter asburiae;166
Streptococcus mitis;167
Streptococcus mitis;167
Streptococcus oralis;168
Streptococcus oralis;168
Streptococcus oralis;168
Streptococcus oralis;168
Escherichia coli;169
Escherichia coli;169
Escherichia coli;169
Escherichia coli;169
Enterobacter cloacae;170
Shigella boydii;171
Shigella flexneri;172
Shigella flexneri;172
Shigella flexneri;172
Shigella flexneri;172
Shigella sonnei;173
Shigella sonnei;173
Shigella sonnei;173
Shigella sonnei;173
Enterobacter asburiae;174
Enterobacter asburiae;174
Enterobacter asburiae;174
Enterobacter asburiae;174
Enterobacter cloacae;175
Enterobacter cloacae;175
Shigella sonnei;176
Shigella sonnei;176
Shigella sonnei;176
Yersinia frederiksenii;177
Yersinia frederiksenii;177
Shigella flexneri;178
Shigella flexneri;178
Shigella flexneri;178
Shigella flexneri;178
Haemophilus influenzae;179
Haemophilus influenzae;179
Haemophilus influenzae;180
Haemophilus influenzae;180
Haemophilus influenzae;181
Haemophilus influenzae;181
Haemophilus influenzae;182
Haemophilus influenzae;182
Streptococcus mitis;183
Streptococcus mitis;183
Streptococcus oralis;184
Streptococcus oralis;184
Streptococcus oralis;184
Listeria monocytogenes;185
Listeria monocytogenes;185
Listeria monocytogenes;185
Listeria monocytogenes;186
Listeria monocytogenes;186
Listeria monocytogenes;186
Listeria monocytogenes;186
Citrobacter freundii;187
Citrobacter freundii;187
Enterobacter asburiae;188
Enterobacter asburiae;188
Enterobacter asburiae;188
Enterobacter asburiae;188
Enterobacter asburiae;188
Enterobacter asburiae;188
Enterobacter cloacae;189
Enterobacter cloacae;189
Enterobacter cloacae;189
Enterobacter cloacae;189
Citrobacter braakii;190
Citrobacter braakii;190
Citrobacter braakii;190
Citrobacter freundii;191
Citrobacter freundii;191
Citrobacter freundii;191
Citrobacter freundii;191
Shigella flexneri;192
Shigella flexneri;192
Yersinia enterocolitica;193
Enterobacter asburiae;194
Enterobacter asburiae;194
Enterobacter asburiae;194
Yersinia enterocolitica;195
Yersinia enterocolitica;195
Streptococcus oralis;196
Streptococcus oralis;196
Streptococcus mitis;197
Streptococcus mitis;197
Citrobacter freundii;198
Citrobacter freundii;198
Citrobacter freundii;198
Citrobacter freundii;198
Citrobacter freundii;198
Escherichia coli;199
Escherichia coli;199
Escherichia coli;199
Escherichia coli;199
Escherichia coli;200
Escherichia coli;200
Escherichia coli;200
Escherichia coli;200
Enterobacter cloacae;201
Enterobacter cloacae;201
Enterobacter cloacae;202
Enterobacter cloacae;202
Enterobacter cloacae;202
Enterobacter cloacae;202
Streptococcus mitis;203
Streptococcus mitis;203
Bacillus thuringiensis;204
Bacillus thuringiensis;205
Citrobacter freundii;206
Citrobacter freundii;206
Citrobacter freundii;206
Citrobacter freundii;206
Bacillus cereus;207
Bacillus cereus;207
Citrobacter freundii;208
Citrobacter freundii;208
Citrobacter braakii;209
Citrobacter braakii;209
Clostridium glycolicum;210
Clostridium glycolicum;210
Shigella flexneri;211
Shigella flexneri;211
Shigella flexneri;211
Shigella flexneri;211
Shigella flexneri;211
Listeria monocytogenes;212
Listeria monocytogenes;212
Listeria monocytogenes;212
Listeria monocytogenes;212
Clostridium difficile;213
Clostridium difficile;213
